Step TotalEnergy PotentialEnergy KineticEnergy Temperature
2760 -27185.032809834287036 -27504.722825131706486 319.69001529742052981 322.71627426684273132
2770 -27183.094403077884635 -27480.767389062755683 297.67298598487121808 300.49082670771429093
2780 -27178.19577357822709 -27485.148141587338614 306.95236800911015962 309.85804948936765868
2790 -27183.361472335280268 -27472.006965684850002 288.64549334956825533 291.37787775769481868
2800 -27178.778508042640169 -27461.846622918394132 283.06811487575384945 285.74770254070864439
2810 -27169.671425102093053 -27472.518703337802435 302.84727823570904093 305.71409999513514322
2820 -27179.692265351521201 -27475.01593259476067 295.32366724323992457 298.11926877632515698
2830 -27172.648145579001721 -27474.423416767611343 301.77527118860842847 304.63194508358355961
2840 -27181.246280146522622 -27469.035916434986575 287.78963628846258871 290.51391895745507554
2850 -27181.207624438502535 -27465.285870159015758 284.07824572051140422 286.7673955156015495
2860 -27179.702447791878512 -27467.254610710682755 287.55216291880486779 290.27419761044262714
2870 -27175.074128822951025 -27467.569579814611643 292.49545099166152795 295.26427998137893383
2880 -27168.081095013043523 -27468.01812094613706 299.93702593309285476 302.77629857708637928
2890 -27168.699568695465132 -27467.698766128632997 298.99919743316650056 301.82959237759519056
2900 -27187.00679929931357 -27462.917389631504193 275.91059033219005414 278.52242322904965022
2910 -27174.397045044908737 -27471.429448330858577 297.03240328595006758 299.84418010612023409
2920 -27169.704454054935923 -27468.150432573711441 298.44597851877676931 301.27113656614392312
2930 -27177.02639650780111 -27473.232559273412335 296.20616276561071345 299.01011820361088667
2940 -27177.94157659560733 -27479.185362809679646 301.24378621407322498 304.09542895044364741
2950 -27163.797384519777552 -27466.952101803326514 303.1547172835477113 306.02444933147688744
2960 -27166.286669664994406 -27457.486308178209583 291.19963851321665516 293.95620104496560998
2970 -27158.252655459815287 -27464.676846339549229 306.42419087973297565 309.32487251420633356
2980 -27156.207900221306772 -27462.745196924341144 306.53729670303545163 309.4390490231601234
2990 -27174.034829471514968 -27458.848638879673672 284.81380940815881786 287.50992221773424262
3000 -27158.215073676325119 -27475.521745092311903 317.30667141598775061 320.31036910587891953
3010 -27144.166497562837321 -27470.086575716850348 325.92007815401399284 329.00531232659443504
3020 -27156.823372454804485 -27457.356235970932175 300.53286351612700855 303.37777649526924506
3030 -27154.721147127671429 -27468.226511310145725 313.50536418247378379 316.47307782669417975
3040 -27154.797549901461025 -27467.993011836151709 313.19546193468988804 316.16024197319183031
3050 -27149.568450314938673 -27462.093399372846761 312.52494905790729263 315.48338186781160175
